User,Date Created,Date Indonesia,Number of Likes,Source of Tweet,Tweet,Kecelakaan,Konstruksi,Cuaca/Kejadian Alam,Event,Kendaraan,Macet Karena hal Lain,Kota
e100ss,2022-11-21 11:54:19,2022-11-21 18:54:19,7,Twitter Web App,18.54: Ada pohon tumbang di Jagir Wonokromo arah Panjang Jiwo. Posisi setelah Kantor Pajak. Lalu lintas Macet (odp-pr),0,0,1,0,0,0,Surabaya
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,1. Tol Banyuurip arah Gunungsari Macet,0,0,0,0,0,1,Surabaya
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,2. Jalur utama A.Yani depan RSAL arah Waru padat,0,0,0,0,0,0,Surabaya
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,3. MERR Klampis arah Medokan Macet,0,0,0,0,0,1,Surabaya
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,4. Duduksampeyan dua arah Macet,0,0,0,0,0,1,Gresik
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,5. Branjangan dua arah padat,0,0,0,0,0,0,Surabaya
e100ss,2022-11-21 10:20:28,2022-11-21 17:20:28,3,Twitter Web App,6. Dupak arah Tol Dupak  padat (odp-pr),0,0,0,0,0,0,Surabaya
e100ss,2022-11-21 4:25:25,2022-11-21 11:25:25,4,Twitter Web App,"1. Ada pengerjaan rel kereta di Cerme Gresik, lalu lintas MACET DUA ARAH;",0,1,0,0,0,0,Gresik
e100ss,2022-11-21 4:25:25,2022-11-21 11:25:25,4,Twitter Web App,2. Ambeng-Ambeng Duduk Sampeyan Gresik arah Lamongan MACET;,0,0,0,0,0,1,Gresik
e100ss,2022-11-21 4:25:25,2022-11-21 11:25:25,4,Twitter Web App,3. Ada penyempitan jalan di Jembatan Plaosan Babat Lamongan karena ada perbaikan jembatan sampai tanggal 15 Desember 2022. (hm),0,0,0,0,0,0,Lamongan
